GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
7.56E-08,10.1203139729,-25.7970153892,10
1.14E-07,10.1063445909,-25.6169444474,10
1.91E-07,9.9932104374,-25.3370040317,10
-3.27E-07,9.8801798233,-25.9724512325,10
-3.16E-07,10.0309622702,-26.0684931831,10
2.37E-07,10.2109952024,-26.1589167274,10
-7.39E-09,10.7965040493,-26.3510056243,10
-3.29E-07,10.0621637123,-26.4275872269,10
7.08E-09,9.6033280775,-26.3334866318,10
-2.63E-07,9.8392836828,-26.4298728109,10
-6.44E-08,10.159466085,-26.4286517844,10
-5.10E-07,10.0543770328,-25.8841053636,10
-1.48E-07,9.5764292517,-25.7024328616,10
3.29E-07,9.6488665325,-25.7961280841,10
-5.88E-07,9.628144369,-26.1498320925,10
-4.84E-07,9.750265038,-26.429315106,10
-1.36E-07,9.8972539566,-26.6173305576,10
3.99E-07,10.3773396602,-26.1622847943,10
-1.33E-07,10.061399775,-26.2467169636,10
2.27E-07,9.6710088803,-25.9744996485,10
1.23E-07,10.1328645688,-25.9760249628,10
-6.04E-07,13.2201789806,-26.2068257383,11
5.16E-07,13.487308794,-26.7479248603,11
-4.22E-07,13.4665730623,-26.6449590413,11
-6.55E-07,13.6445143311,-26.4669658491,11
-3.68E-08,13.715723128,-26.3778655906,11
6.43E-07,13.9668849399,-26.1905573844,11
6.47E-08,14.2274570866,-26.5519928124,11
1.06E-06,14.0740189864,-26.1907365438,11
-9.91E-07,13.4410388411,-26.5549687872,11
6.22E-07,13.9000250448,-26.9243794185,11
-7.47E-07,13.3370306915,-26.5553950871,11
-7.56E-08,13.7336797844,-26.3739001698,11
-7.14E-07,13.5289728161,-26.0129912282,11
2.00E-07,13.6603289909,-26.195748107,11
8.34E-07,13.3304647615,-26.4615992065,11
-1.17E-07,13.5532015784,-26.4681638561,11
5.52E-07,13.5114123527,-26.6476666017,11
-4.94E-07,13.6805846024,-26.0126103219,11
-2.22E-07,13.757384321,-26.3805122454,11
3.33E-07,13.4704923319,-25.8323270979,11
-4.81E-07,13.3178410683,-26.0997675742,11
2.66E-07,13.7623916063,-26.9204521523,11
2.47E-07,13.6014704506,-26.9131826833,11
8.68E-07,13.758982978,-27.0123577389,11
-7.95E-07,13.877179424,-26.2882628861,11
7.12E-08,14.0029961338,-26.0114919551,11
-9.00E-07,13.9104532073,-26.1940141573,11
3.71E-07,13.1255853427,-26.7330055713,11
