06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-68,-81,NaN,NaN,-69,-50,-39,-68,-58,-55,-65,-71,-64,-76,-88,NaN,NaN,-77,NaN,NaN,2
-69,-79,NaN,NaN,-68,-50,-38,-68,-62,-56,-64,-70,-64,-75,-87,NaN,-72,-78,NaN,NaN,2
-69,-79,NaN,NaN,-68,-49,-38,-69,-61,-56,-63,-71,-76,-76,-86,NaN,-72,-78,NaN,NaN,2
-69,NaN,-70,NaN,-69,-49,-38,-69,-63,-57,-62,-71,-76,-76,-86,NaN,-72,-76,NaN,-91,2
-69,-80,-70,NaN,-66,-50,-38,-67,-59,-52,-63,-71,-75,-76,-86,NaN,-71,-77,NaN,-91,2
-69,-80,-70,NaN,-66,-50,-38,-67,-62,-52,-65,-71,-75,NaN,NaN,-89,-71,-77,NaN,NaN,2
-69,-80,-70,NaN,-71,-50,-38,-67,-63,-50,-63,NaN,-75,NaN,NaN,-89,-71,-78,NaN,NaN,2
-70,-78,-71,-72,-74,-50,-39,-68,-64,-54,-63,-83,-64,NaN,NaN,-89,NaN,-77,NaN,NaN,2
-70,-78,-71,-72,-83,-51,-38,-68,-59,-53,-63,-83,-63,-76,-87,NaN,NaN,-77,NaN,-94,2
-69,-80,-70,-72,-66,-51,-38,-68,-62,-52,-66,-71,-64,-77,-87,NaN,-86,-81,NaN,-94,2
-70,-81,-69,-74,-66,-50,-40,-67,-60,-58,-64,-72,-64,-76,-87,NaN,-86,-78,NaN,NaN,2
-69,-81,-71,-74,-67,-50,-38,-70,-60,-65,-65,-68,-64,-76,-87,NaN,-72,-81,NaN,NaN,2
-70,NaN,-71,NaN,-67,NaN,-38,-67,-59,-60,-63,-70,-63,-77,-85,NaN,-72,-81,NaN,NaN,2
-70,-80,-71,-74,-70,-51,-39,-70,-59,-55,-66,-70,-71,-77,-85,NaN,NaN,NaN,-91,NaN,2
-69,-80,-71,-74,-70,-51,-38,-68,-59,-58,-63,-69,-65,-77,-88,NaN,-78,NaN,-91,NaN,2
-70,-80,-71,-74,-76,-51,-38,-68,-59,-57,-65,-67,-63,-76,-87,NaN,-78,-78,NaN,NaN,2
-70,-80,-71,-74,-75,-50,-38,-68,-59,-56,-65,-68,-63,-76,-87,NaN,NaN,-78,NaN,NaN,2
-70,-80,-70,-74,-68,-51,-38,-68,NaN,-58,-67,-71,-70,-76,NaN,NaN,NaN,-77,NaN,NaN,2
-70,NaN,-70,-74,-68,-51,-38,-68,-60,-58,-66,-70,-62,NaN,NaN,NaN,NaN,-76,NaN,NaN,2
-70,NaN,NaN,-75,NaN,-50,-38,-73,-61,-57,-68,-70,-63,NaN,-87,NaN,NaN,-76,NaN,NaN,2
-70,-78,-78,-75,-70,-51,-38,-73,-61,-55,-69,-76,-63,-75,-87,NaN,NaN,NaN,NaN,NaN,2
-69,-78,-72,-75,-66,-52,-38,-69,-61,-57,-66,-70,-63,-76,NaN,NaN,-77,-77,NaN,NaN,2
-69,-79,-70,-75,-72,-53,-38,-69,-59,-92,-67,-70,-74,-77,NaN,NaN,-77,-77,NaN,NaN,2
-70,-79,-70,-75,-66,-53,-38,-69,-59,-60,-67,-71,-75,-76,-88,NaN,NaN,-77,NaN,NaN,2
-68,-79,-69,-74,-69,-52,-40,-67,-61,-89,-67,-72,-63,-76,-88,NaN,-78,-77,NaN,NaN,2
-68,-81,-71,-74,-69,-51,-39,-88,-63,-56,-67,-70,-65,-76,-88,NaN,-78,-76,NaN,NaN,2
-69,-80,-70,NaN,-67,-51,-41,-69,-64,-53,NaN,-73,-65,-76,NaN,NaN,-78,-76,NaN,NaN,2
-69,-80,-70,-75,-67,-49,-37,-68,-60,-54,-66,-70,-65,-77,NaN,NaN,-76,-77,NaN,NaN,2
-69,-81,-70,-74,-65,-53,-39,-69,-61,-53,-67,-71,-75,-77,-87,NaN,-72,-77,NaN,NaN,2
