06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),64:66:b3:d0:4a:8d(DLINK_D04A8D),e4:8d:8c:20:4d:c1(UPLAT),00:0f:f7:2e:0a:d0(ESOGU-WIFI),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),00:26:5a:52:0b:8c(RFKON_115),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:13:0d:9d(EROGLU),REF_POINT
-72,-54,-61,-39,-58,-56,-36,-54,-54,-55,-70,-46,-71,NaN,NaN,-76,-73,NaN,NaN,NaN,NaN,NaN,7
-71,-56,-59,-38,-56,-57,-34,-55,-59,-54,-70,-46,-65,-75,NaN,-76,-72,NaN,NaN,-84,-89,NaN,7
-71,-56,-60,-40,-57,-55,-37,-50,-55,-57,-70,-46,-65,-72,NaN,-74,-75,NaN,-74,-82,-89,NaN,7
-60,-55,-59,-38,-57,-56,-37,-54,-54,-54,-70,-52,-71,-73,NaN,-74,-75,NaN,-76,-83,NaN,NaN,7
-71,-54,-61,-38,-57,-56,-35,-58,-56,-56,-70,-46,-73,-73,NaN,-72,-72,NaN,-76,-83,NaN,NaN,7
-72,-53,-60,-38,-57,-56,-37,-53,-56,-56,-69,-46,-71,NaN,NaN,-73,-74,NaN,-73,NaN,NaN,NaN,7
-72,-56,-60,-38,-57,-55,-37,-56,-56,-56,-69,-51,-71,-74,-83,-73,-75,NaN,-75,-82,NaN,-88,7
-71,-52,-61,-38,-58,-55,-42,-56,-55,-56,-71,-46,-72,-74,-82,-73,-74,NaN,-82,-82,NaN,-88,7
-70,-55,-62,-38,-58,-56,-37,-55,-57,-57,-70,-46,-71,-70,-84,-74,-72,NaN,-82,-82,NaN,NaN,7
-71,-55,-58,-38,-57,-53,-37,-81,-58,-55,-69,-48,-71,-74,-73,-75,-73,-81,-77,-84,-91,NaN,7
-71,-56,-61,-38,-56,-53,-37,-53,-55,-57,-71,-46,-71,-73,-83,-73,-78,-84,-77,-84,-91,-86,7
-72,-55,-61,-38,-56,-56,-37,-53,-54,-57,-69,-46,-71,-73,-83,-71,-77,-84,NaN,NaN,NaN,-86,7
-72,-55,-60,-41,-57,-56,-37,-53,-57,-56,-71,-46,-75,NaN,NaN,-74,-76,-86,-78,NaN,NaN,NaN,7
-73,-56,-57,-38,-58,-55,-37,-51,-59,-57,-69,-47,-71,-73,-84,-72,-72,-86,-77,-83,NaN,NaN,7
-72,-57,-84,-38,-57,-57,-37,-54,-57,-59,-68,-46,-71,-74,-83,-73,-72,-83,-77,-81,-89,NaN,7
-73,-57,-61,-38,-58,-56,-37,-53,-60,-58,-70,-47,-71,-74,-84,-74,-72,-83,-77,-83,-89,NaN,7
-73,-55,-61,-39,-58,-56,-40,-53,-54,-57,-69,-46,-65,-73,-84,-74,-72,NaN,-78,-74,-89,-85,7
-72,-57,-62,-38,-58,-56,-37,-53,-57,-56,-77,-50,-71,-74,-74,-74,-72,NaN,-78,-81,-89,-85,7
-71,-60,-65,-39,-58,-53,-37,-53,-58,-57,-69,-47,-72,-74,-74,-72,-72,NaN,-78,-73,NaN,NaN,7
-66,-56,-50,-45,-60,-65,-31,-48,-60,-47,-67,-59,-72,-77,-81,-77,-71,NaN,-73,-79,NaN,NaN,8
-65,-58,-59,-44,-60,-62,-32,-52,-60,-47,-69,-58,-68,-74,-81,-75,-74,NaN,-68,-81,-89,-80,8
-67,-54,-52,-45,-62,-71,-32,-50,-68,-49,-71,-57,-68,-69,-82,-74,-74,NaN,-68,-81,-89,-80,8
-67,-59,-52,-45,-60,-70,-32,-50,-65,-49,-66,-57,-67,-70,-81,-73,-77,-86,-69,-78,NaN,NaN,8
-68,-58,-52,-84,-60,-70,-31,-50,-68,-57,-77,-58,-66,-72,-81,-75,-77,-86,-69,-80,NaN,NaN,8
-67,-55,-52,-44,-60,-70,-32,-50,-67,-49,-77,-57,-66,-71,-81,-75,-77,-88,NaN,-80,NaN,NaN,8
-67,-56,-52,-44,-59,-73,-32,-52,-63,-49,NaN,-58,-67,-71,-80,-76,-77,-88,-68,-78,NaN,NaN,8
-68,-57,-52,-84,-62,-73,-32,-49,-67,-50,-78,-58,-67,-69,-80,-76,-75,NaN,-68,-78,NaN,NaN,8
-68,-57,-52,-44,-60,-70,-32,-49,-66,-49,-65,-58,-67,-70,NaN,-74,-75,NaN,-71,-77,NaN,-80,8
-67,-55,-52,-44,-60,-72,-32,-47,-64,-58,-67,-57,-67,-71,NaN,-74,-73,NaN,-71,-77,NaN,-80,8
-68,-56,-51,-44,-59,-68,-32,-53,-68,-58,-66,-58,-68,-72,-81,-74,-77,NaN,-67,-79,NaN,-81,8
-67,-54,-52,-45,-62,-66,-32,-51,-67,-49,-66,-58,-67,-91,-82,-75,-77,NaN,-68,-78,NaN,-81,8
-69,-57,-52,-42,-62,-66,-32,-50,-68,-49,-78,-57,-67,-70,-80,-75,-78,NaN,-68,-78,NaN,NaN,8
-65,-55,-52,-44,-56,-70,-32,-51,-67,-49,-67,-57,-67,-71,-82,-76,-74,NaN,-74,-80,NaN,-90,8
-67,-53,-52,-44,-59,-70,-32,-50,-67,-49,-66,-57,-67,-71,-78,-76,-76,NaN,-74,-79,NaN,-88,8
-66,-55,-52,-45,-60,-69,-32,-50,-69,-49,-66,-57,-67,-71,-81,-73,-73,NaN,-77,-79,NaN,-88,8
-68,-56,-52,-44,-61,-67,-31,-52,-68,-49,-80,-58,-67,-70,-81,-75,-80,NaN,-73,-79,-90,NaN,8
-67,-56,-52,-44,-60,-69,-32,-50,-68,-49,-80,-58,-67,-70,-92,-74,-78,NaN,-77,-81,-90,-83,8
-67,-57,-51,-44,-62,-68,-32,-89,-67,-47,-66,-58,-67,-70,-81,-74,-69,-87,-77,-80,NaN,-83,8
-67,-56,-52,-44,-62,-70,-32,-51,-68,-48,-66,-58,-67,-71,-82,-76,-73,-87,-69,-79,NaN,NaN,8
-67,-55,-52,-44,-60,-70,-32,-50,-69,-48,-66,-56,-67,-71,-76,-77,-74,NaN,-70,-79,-88,-82,8
-63,-54,-57,-44,-60,-68,-32,-51,-68,-50,-66,-58,-67,-71,-81,-77,-74,NaN,-70,-80,-88,-82,8
-67,-55,-53,-44,-60,-71,-74,-50,-69,-49,-74,-55,-67,-66,-81,-75,-75,NaN,-69,-78,NaN,NaN,8
-68,-55,-53,-44,-61,-75,-32,-50,-66,-49,-66,-58,-67,-71,-81,-77,-74,NaN,-68,-78,NaN,NaN,8
-67,-55,-53,-61,-60,-69,-32,-48,-67,-57,-66,-59,-67,-71,-82,-77,-75,NaN,-68,-82,NaN,NaN,8
-68,-56,-53,-44,-62,-66,-32,-48,-65,-49,-66,-58,-67,-71,-82,-78,-74,-89,-68,-85,-88,NaN,8
-65,-56,-53,-46,-60,-73,-32,-51,-68,-57,NaN,-58,-67,-72,NaN,-77,-75,NaN,-75,NaN,NaN,NaN,8
-61,-55,-53,-45,-60,-73,-32,-52,-65,-56,-66,-58,-67,-71,NaN,-77,-74,NaN,-75,-79,NaN,NaN,8
-67,-57,-52,-53,-62,-71,-31,-53,-64,-49,-67,-56,-65,-72,NaN,-79,-80,-86,NaN,-79,NaN,NaN,8
-66,-57,-53,-45,-61,-71,-32,-51,-67,-57,-66,-57,-66,-72,-81,-76,-80,-86,-78,NaN,NaN,NaN,8
-61,-56,-53,-45,-60,-69,-31,-51,-67,-57,-74,-58,-67,NaN,-81,-82,-74,NaN,-75,NaN,NaN,NaN,8
-61,-58,-52,-45,-60,-69,-32,-51,-67,-49,-66,-56,-67,-70,-71,-79,-76,NaN,-71,NaN,NaN,-81,8
-61,-57,-52,-45,-61,-73,-31,-50,-68,-48,-67,-56,-67,-69,-71,-79,-75,NaN,-75,NaN,-89,-81,8
-66,-56,-67,-45,-60,-72,-31,-50,-66,-50,-66,-56,-67,-71,-81,-77,-74,NaN,-74,-79,-89,-81,8
-66,-56,-52,-47,-59,-73,-32,-51,-67,-49,-65,-56,-67,-70,-81,-83,-77,-88,-74,-79,NaN,-81,8
-66,-56,-52,-47,-58,-68,-31,-53,-68,-49,-66,-58,-69,-71,NaN,-77,-75,-88,-75,NaN,NaN,NaN,8
-66,-56,-53,-46,-61,-69,-31,-51,-68,-48,-66,-58,-64,-69,-81,-77,-75,NaN,-74,-79,NaN,NaN,8
-67,-54,-53,-45,-61,-69,-32,-51,-67,-49,-76,-57,-67,-71,-81,-80,-75,NaN,-76,-79,NaN,NaN,8
-66,-58,-52,-45,-61,NaN,-31,-51,-67,-50,-75,-56,-67,-70,-81,-80,-76,NaN,-76,-79,NaN,-81,8
-66,-56,-52,-53,-61,NaN,-32,-52,-67,-57,-75,-58,-67,-70,-81,-80,-75,NaN,NaN,NaN,NaN,-81,8
-66,-56,-52,-53,-60,-71,-32,-51,-67,-48,NaN,-56,-64,-71,NaN,-81,-75,NaN,NaN,NaN,NaN,NaN,8
-67,-55,-53,-45,-60,-73,-31,-51,-67,-49,NaN,-56,-67,-71,NaN,-79,-76,NaN,NaN,NaN,NaN,NaN,8
-66,-56,-52,-44,-59,-69,-31,-49,-68,-49,-65,-56,-67,-71,-80,-79,-73,NaN,-72,-72,-90,NaN,8
-66,-54,-50,-45,-59,-67,-31,-49,-62,-54,-68,-58,-66,-70,-80,-79,-73,NaN,-67,-85,-90,NaN,8
-68,-54,-48,-43,-59,-68,-33,-47,-60,-48,-65,-56,-69,-71,NaN,-75,-71,NaN,-69,-77,NaN,NaN,8
-66,-55,-55,-45,-61,-68,-33,-47,-60,-48,-65,-63,-71,-72,NaN,-80,-71,NaN,-69,-77,NaN,NaN,8
-66,-56,-50,-46,-60,-71,-35,-50,NaN,-50,-73,-55,-69,-72,NaN,-80,-71,NaN,-69,NaN,NaN,NaN,8
-70,-53,-49,-86,-61,-68,-33,-50,-66,-56,-65,-62,-69,-73,NaN,NaN,-73,NaN,-70,NaN,NaN,NaN,8
-67,-55,-50,-44,-62,-68,-30,-50,-69,-50,-66,-57,-66,-73,NaN,NaN,-76,NaN,-70,NaN,NaN,NaN,8
-67,-54,-51,-45,-64,-65,-32,-51,-68,-50,-66,-58,-66,NaN,NaN,-78,-72,NaN,NaN,-81,NaN,NaN,8
-67,-55,-52,-44,-59,-68,-32,-49,-66,-49,-66,-57,-67,NaN,-83,-81,-77,-88,NaN,-81,NaN,NaN,8
-67,-55,-51,-45,-59,-66,-32,-50,-66,-50,-73,-57,-67,-72,-83,-81,-77,-88,-68,NaN,NaN,NaN,8
-67,-55,-51,-44,-61,-67,-32,-48,-67,-50,-73,-56,-68,-72,NaN,-78,NaN,NaN,-76,NaN,NaN,NaN,8
-68,-56,-52,-45,-59,-68,-32,-48,-66,-50,-66,-57,-68,-72,NaN,-80,-74,NaN,-76,-81,NaN,NaN,8
-68,-56,-51,-45,-60,-74,-32,-48,-65,-56,-73,-57,-78,-72,NaN,-75,-72,NaN,-72,-80,NaN,NaN,8
-68,-54,-51,-44,-60,-67,-32,-47,-67,-50,-73,-58,-68,-72,NaN,-77,-74,NaN,-72,-80,NaN,NaN,8
-67,-54,-51,-44,-59,-67,-32,-48,-66,-49,-64,-57,-68,-71,-81,-77,-78,-85,-72,NaN,NaN,NaN,8
-60,-54,-51,-45,-59,NaN,-32,-49,-64,-50,-65,-56,-67,-75,-81,-77,-76,-84,NaN,NaN,-89,NaN,8
-67,-54,-52,-44,-60,-66,-32,-49,-64,-49,-66,-57,-67,-71,NaN,-76,-76,-84,NaN,-80,-89,-59,8
-67,-54,-51,-45,-61,-73,-32,-48,-66,-49,-65,-58,-67,-72,NaN,-76,-73,-84,NaN,-75,NaN,-59,8
-67,-54,-51,-45,-60,-66,-32,-48,-66,-58,-65,-56,NaN,-72,NaN,-79,-74,-84,-72,-75,NaN,NaN,8
-67,-54,-51,-45,-60,-66,-32,-47,-65,-59,-65,-57,-67,-66,NaN,-78,-78,NaN,-74,NaN,NaN,NaN,8
-67,-54,-51,-45,-60,-69,-32,-47,-66,-47,-66,-57,-67,-72,NaN,-78,-78,NaN,-74,-79,NaN,NaN,8
-61,-54,-51,-45,-59,-68,-32,-46,-70,-49,-63,-57,-67,-73,NaN,NaN,NaN,-84,-71,-79,NaN,NaN,8
-67,-55,-51,-45,-60,-67,-32,-47,-70,-49,-63,-57,-67,-77,NaN,-80,-76,-84,-71,NaN,NaN,NaN,8
-61,-55,-51,-46,-59,-67,-32,-48,-66,-56,-65,-57,-67,-73,-81,-81,-73,NaN,NaN,-78,NaN,NaN,8
-69,-56,-51,-45,-61,-67,-32,-48,-66,-49,-74,-57,-68,-73,-80,-75,-74,NaN,-72,-78,NaN,NaN,8
-67,-53,-50,-45,-55,-64,-32,-49,-65,-50,-64,-57,-68,-70,-80,-77,-74,NaN,-69,-81,NaN,NaN,8
-67,-54,-53,-44,-59,-64,-32,-48,-68,-49,-64,-57,-68,-70,NaN,-77,-79,NaN,-69,-77,NaN,NaN,8
-63,-57,-51,-45,-61,-64,-32,-49,-59,-50,-66,-57,NaN,NaN,NaN,NaN,-77,NaN,NaN,-77,NaN,NaN,8
-67,-52,-50,-45,-60,-71,-32,-46,-66,-48,-66,-52,NaN,NaN,NaN,NaN,-77,NaN,NaN,-78,NaN,NaN,8
-68,-56,-50,-44,-59,-63,-32,-49,-66,-54,-67,-57,-68,-71,-80,NaN,-80,NaN,-68,-78,NaN,NaN,8
-65,-53,-51,-45,-60,-63,-32,-49,-67,-49,-58,-57,-67,-74,-80,NaN,-74,NaN,-66,-78,NaN,NaN,8
-67,-56,-51,-44,-60,-69,-32,-47,-67,-49,-65,-56,-67,-73,-78,-80,-73,NaN,-67,-76,NaN,NaN,8
-67,-58,-51,-43,-60,-68,-32,-51,-66,-49,-65,-57,-67,-76,-81,-81,-78,NaN,-67,-90,-87,NaN,8
-66,-57,-51,-45,-60,-67,-32,-52,-66,-50,-65,-56,-68,-72,-81,-79,-77,NaN,NaN,-90,-87,NaN,8
-66,-57,-51,-45,-60,-68,-32,-49,-66,-57,-65,-57,-68,-73,NaN,-77,-77,NaN,-71,NaN,NaN,NaN,8
-66,-57,-51,-83,-59,-69,-32,-50,-66,-48,-65,-57,-66,-74,NaN,-78,-78,NaN,-71,-79,NaN,NaN,8
-66,-58,-51,-44,-60,-66,-32,-50,-66,-49,-65,-57,-66,-73,-75,-78,-78,NaN,-74,-77,-89,NaN,8
-65,-56,-51,-45,-61,-67,-32,-50,-67,-48,-77,-57,-68,-73,-81,-76,-74,NaN,-75,-80,-90,NaN,8
-64,-56,-47,-48,-60,-68,-31,-46,-50,-44,-71,-53,-56,-68,-79,-76,-76,-84,-71,-84,-90,NaN,9
-63,-57,-47,-61,-59,NaN,-30,-48,-51,-45,-65,-53,-69,-66,-79,-69,-73,NaN,-71,-81,-90,-76,9
-64,-58,-47,-61,-60,-63,-30,-48,-51,-44,-72,-54,-70,-63,-82,-68,-73,NaN,NaN,-83,-90,-76,9
-63,-57,-47,-52,-62,-63,-31,-48,-52,-45,-71,-53,-70,-65,-84,-69,-74,NaN,-73,-84,NaN,NaN,9
-63,-55,-46,-51,-63,-63,-26,-48,-51,-44,-72,-54,NaN,-61,-84,-71,-73,-85,-73,-84,NaN,NaN,9
-63,-55,-46,-57,-62,-64,-29,-43,-51,-44,-73,-54,NaN,-61,NaN,-69,-78,-85,-69,-83,NaN,-80,9
-63,-55,-46,-50,-63,-64,-30,-48,-51,-44,-72,-53,NaN,NaN,NaN,-69,-76,NaN,-68,-83,NaN,-80,9
-62,-57,-46,-53,-62,-63,-31,-47,-51,-45,-73,-53,NaN,-64,NaN,-69,-76,NaN,-70,NaN,NaN,NaN,9
-63,-56,-46,-51,-63,-61,-31,-45,-52,-55,-72,-54,-68,-73,NaN,-69,-75,-83,-76,-83,-91,-68,9
-62,-57,-47,-52,-62,-60,-25,-47,-52,-44,-72,-53,-69,-64,-77,-70,-72,-83,-70,-78,-91,-68,9
-63,-56,-47,-51,-62,-60,-33,-47,-52,-43,-71,-54,-69,-64,-75,-70,-74,NaN,-70,-78,NaN,NaN,9
-62,-57,-46,-50,-63,-59,-30,-48,-52,-55,-66,-54,NaN,-65,-82,-69,-74,-83,-70,-83,NaN,-78,9
-63,-55,-46,-52,-63,-60,-30,-48,-51,-55,-66,-54,-70,-65,-82,-69,-76,-83,-68,-83,-89,-78,9
-62,-56,-46,-54,-61,-61,-30,-47,-51,-54,-72,-54,-70,-66,NaN,-69,-76,-82,-76,NaN,-89,NaN,9
-62,-56,-46,-51,-63,-61,-31,-47,-51,-44,-72,-54,NaN,-66,NaN,NaN,-76,-82,-76,NaN,-89,NaN,9
-62,-56,-46,-49,-63,-59,-29,-47,-51,-44,-72,-54,NaN,NaN,NaN,NaN,-76,NaN,-69,NaN,-89,NaN,9
-63,-55,-46,-51,-61,-60,-30,-47,-52,-47,-72,-54,-69,NaN,NaN,NaN,NaN,NaN,-77,-83,NaN,NaN,9
-63,-55,-46,-52,-61,-59,-30,-47,-52,-44,NaN,-53,-75,-65,-81,NaN,-75,NaN,-78,-83,NaN,NaN,9
-64,-54,-46,-49,-62,-60,-31,-47,-51,-44,-72,-54,-69,-65,-83,-69,-74,NaN,-78,-79,NaN,NaN,9
-64,-55,-49,-51,-63,-63,-30,-47,-52,-44,-72,-54,-69,-65,-82,-70,-73,NaN,NaN,-78,NaN,NaN,9
-63,-60,-46,-49,-63,-61,-30,-46,-52,-44,-71,-53,-69,-65,-81,-66,-77,NaN,NaN,-78,NaN,NaN,9
-63,-55,-47,-50,-63,-66,-30,-47,-50,-44,-72,-53,-69,-66,-81,-68,-75,NaN,-88,NaN,NaN,NaN,9
-63,-57,-46,-54,-62,-65,-27,-46,-51,-44,-72,-54,-69,-66,NaN,-70,-72,NaN,-88,-84,NaN,-78,9
-63,-61,-47,-51,-62,-60,-30,-49,-52,-54,-72,-53,-69,-65,NaN,-68,-76,NaN,-71,-84,NaN,-78,9
-63,-56,-84,-51,-91,-62,-30,-47,-51,-43,-70,-54,NaN,-64,NaN,-68,-72,NaN,-72,NaN,NaN,NaN,9
-64,-56,-47,-52,-63,-61,-30,-48,-52,-44,-69,-53,-70,-63,-81,NaN,-72,NaN,-72,-84,NaN,-68,9
-65,-57,-46,-51,-62,-61,-30,-48,-52,-43,-79,-53,-70,-63,-81,NaN,-74,NaN,-73,-84,NaN,-68,9
-65,-57,-47,-84,-62,-62,-30,-48,-51,-44,-71,-54,-71,NaN,-78,NaN,-74,NaN,-73,NaN,NaN,NaN,9
-63,-55,-47,-53,-62,-62,-29,-47,-51,-55,-72,-53,-71,-65,-81,NaN,-75,NaN,NaN,NaN,NaN,NaN,9
-63,-59,-46,-54,-60,-61,-31,-47,-52,-44,-71,-54,-69,-65,-81,NaN,-76,NaN,NaN,-80,NaN,NaN,9
-64,-56,-46,-49,-63,-63,-30,-47,-52,-44,-70,-54,-71,-66,-80,NaN,-73,NaN,NaN,-82,-82,NaN,9
-64,-56,-48,-50,-63,-61,-31,-46,-50,-44,-71,-53,-71,-66,-80,NaN,-74,NaN,NaN,-82,-82,NaN,9
-62,-54,-47,-84,-62,-63,-47,-46,-51,-44,-72,-53,-71,NaN,NaN,NaN,-73,NaN,NaN,-82,NaN,NaN,9
-62,-61,-44,-52,-62,-63,-30,-48,-51,-85,-71,-53,NaN,NaN,-81,-91,-73,NaN,NaN,-83,-79,NaN,9
-63,-58,-46,-53,-62,-61,-30,-48,-53,-54,-71,-53,NaN,NaN,-80,-91,-75,NaN,NaN,-83,-79,NaN,9
-63,-55,-46,-51,-63,-61,-30,-47,-52,-44,-70,-54,NaN,NaN,-81,NaN,-76,NaN,NaN,-83,NaN,NaN,9
-62,-54,-49,-52,-61,-52,-30,-46,-52,-44,-69,-53,-69,-64,-81,NaN,-76,NaN,NaN,-83,NaN,NaN,9
-63,-55,-46,-50,-61,-61,-29,-46,-51,-44,-69,-53,-69,-65,NaN,NaN,-76,NaN,NaN,-82,NaN,NaN,9
-63,-54,-47,-51,-63,-60,-30,-46,-51,-48,-69,-53,-72,-64,-81,-70,-73,NaN,-70,-82,NaN,NaN,9
-65,-54,-46,-57,-63,-63,-30,-46,-51,-44,-71,-53,-69,-64,-77,-70,-78,NaN,-70,-80,-88,-78,9
-64,-59,-46,-55,-64,-63,-29,-47,-51,-56,-70,-54,-69,-64,-77,-69,-73,NaN,NaN,-80,-88,-78,9
-64,-57,-46,-55,-62,NaN,-30,-46,-51,-44,-70,-54,NaN,-64,NaN,-69,-75,NaN,-70,NaN,NaN,NaN,9
-65,-55,-46,-55,-63,NaN,-29,-45,-51,-44,-70,-53,-69,-65,NaN,NaN,-75,-83,-70,NaN,NaN,NaN,9
-64,-54,-46,-56,-62,-63,-29,-47,-51,-44,-70,-53,-69,-65,-77,NaN,NaN,-83,NaN,NaN,-85,NaN,9
-65,-58,-47,-55,-63,-63,-31,-46,-51,-44,-70,-53,-69,-66,-77,-69,-76,-84,NaN,NaN,-85,NaN,9
-64,-54,-46,-52,-63,-63,-30,-46,-51,-44,-70,-54,-69,-66,NaN,-69,-75,-85,-68,NaN,NaN,NaN,9
-64,-58,-46,-54,-62,-60,-29,-46,-52,-44,-70,-54,-69,-65,-81,-68,-76,-85,-70,-82,NaN,NaN,9
-65,-59,-46,-51,-62,-60,-30,-45,-52,-55,-70,-53,NaN,-65,-81,-68,-74,NaN,-70,-82,NaN,NaN,9
-65,-60,-47,-53,-62,-64,-30,-46,-51,-44,-70,-53,NaN,-65,NaN,-68,-74,NaN,NaN,-79,NaN,NaN,9
-65,-59,-46,-53,-63,-64,-30,-46,-52,-43,-70,-53,-69,-66,NaN,-68,-73,NaN,-70,-79,-89,NaN,9
-64,-56,-46,-82,-62,-63,-30,-46,-51,-44,-70,-53,-69,-66,NaN,-68,-75,NaN,-70,-82,-89,NaN,9
-65,-56,-46,-51,-62,-59,-30,-46,-52,-81,-70,-53,-70,-65,-82,-69,-89,NaN,-71,-82,NaN,NaN,9
-64,-56,-47,-69,-63,-59,-30,-46,-52,-44,-69,-53,-70,-64,-82,-70,-77,NaN,-76,-82,NaN,NaN,9
-63,-55,-46,-53,-63,-60,-31,-46,-52,-44,-71,-54,-69,-64,-78,-68,-72,NaN,-76,-82,NaN,NaN,9
-64,-55,-43,-53,-60,-60,-34,-46,-51,-44,-71,-54,-72,NaN,-78,-68,-74,NaN,NaN,-82,NaN,NaN,9
-65,-59,-46,-52,-60,-60,-31,-47,-51,-53,-70,-53,-72,-66,NaN,-69,-73,NaN,-69,-82,NaN,NaN,9
-66,-55,-49,-51,-61,-61,-30,-46,-52,-44,-71,-53,NaN,-66,NaN,-70,-75,-81,-69,-82,NaN,NaN,9
-66,-57,-46,-51,-63,-61,-30,-46,-51,-44,-70,-53,-69,-65,NaN,-70,-75,-81,-70,-83,NaN,NaN,9
-67,-55,-46,-51,-61,-60,-30,-46,-52,-53,-71,-53,-69,-64,NaN,-69,-73,NaN,-70,-83,NaN,NaN,9
-66,-55,-46,-54,-62,-57,-32,-46,-52,-44,-70,-54,-69,-64,-77,-69,-77,NaN,NaN,-83,NaN,NaN,9
-63,-56,-47,-49,-62,-57,-31,-50,-51,-44,-73,-53,-69,-65,-78,-71,-74,NaN,-76,-83,NaN,NaN,9
-64,-55,-48,-64,-63,-60,-31,-47,-51,-43,-68,-54,-69,-64,-78,-81,-73,NaN,-76,-83,NaN,NaN,9
-64,-56,-46,-52,-63,-59,-30,-47,-51,-54,-73,-53,-68,-65,NaN,-70,-75,NaN,-77,-81,NaN,NaN,9
-63,-56,-47,-50,-63,-60,-30,-47,-51,-43,-71,-53,-68,-64,NaN,-70,-74,-83,-77,-81,NaN,NaN,9
-64,-56,-46,-50,-63,-60,-30,-47,-51,-44,-73,-54,NaN,-64,NaN,-69,-74,-83,-71,NaN,NaN,NaN,9
-64,-56,-45,-53,-63,-60,-30,NaN,-51,-44,-73,-54,-71,NaN,NaN,-69,-71,NaN,-71,NaN,NaN,NaN,9
-63,-56,-46,-50,-62,-60,-30,-47,-52,-43,NaN,-54,-71,-65,NaN,-70,-79,NaN,NaN,-77,NaN,NaN,9
-64,-55,-46,-51,-63,-63,-30,-48,-52,-53,-71,-54,-71,-65,NaN,-69,-75,NaN,-71,-77,NaN,NaN,9
-64,-56,-46,-54,-63,-60,-30,-48,-51,-44,-66,-53,-69,-66,-84,-70,-74,NaN,-71,-82,NaN,-68,9
-63,-58,-47,-57,-64,-63,-30,-47,-52,-43,-69,-53,-69,-65,-84,-70,-74,NaN,-71,-82,NaN,-68,9
-63,-55,-46,-54,-62,-63,-30,-47,-51,-44,-69,-53,-69,-65,NaN,NaN,-76,-83,-72,NaN,NaN,NaN,9
-63,-57,-46,-55,-63,-61,-29,-48,-52,-44,-69,-54,-69,-66,-82,-69,-72,-84,-70,-84,NaN,NaN,9
-63,-56,-46,-53,-63,-61,-30,-47,-51,-42,-66,-53,-68,-64,-81,-69,-72,-83,-71,-84,NaN,NaN,9
-64,-57,-46,-61,-61,-61,-29,-47,-51,-59,-70,-53,-71,-64,-81,-69,-76,-83,-71,NaN,-80,-79,9
-64,-57,-46,-51,-64,-61,-31,-46,-51,-44,-70,-54,-69,-64,-83,-69,-77,NaN,-71,NaN,-80,-79,9
-64,-57,-47,-52,-62,-61,-29,-46,-51,-44,-66,-53,-70,-64,-83,-70,-75,NaN,-71,NaN,NaN,NaN,9
-64,-57,-46,-53,-60,-62,-31,-50,-51,-44,-71,-53,-69,-64,NaN,-70,-80,NaN,-69,NaN,NaN,NaN,9
-64,-56,-46,-54,-63,-60,-29,-46,-51,-44,-71,-56,-69,-64,-83,-69,-75,NaN,-62,-83,-87,-78,9
-64,-57,-46,-52,-62,-61,-30,-47,-51,-43,-71,-54,-73,-66,-84,-68,-76,NaN,-62,-83,-90,-67,9
-64,-56,-45,-50,-62,-60,-30,-44,-51,-44,-71,-56,-73,-64,-83,-70,-72,NaN,-67,NaN,-90,-67,9
-54,-56,-53,-52,-56,-57,-43,-43,-55,-48,-71,-57,-68,-74,-82,-71,-66,NaN,-62,-71,-87,-79,10
-57,-55,-54,-77,-54,-55,-43,-44,-53,-58,-66,-58,-73,-67,-79,-72,-66,NaN,-67,-71,NaN,-79,10
-56,-59,-57,-40,-54,-56,-39,-43,-53,-58,-68,-58,-73,-74,-79,-71,-69,NaN,-67,-67,NaN,NaN,10
-56,-59,-55,-42,-54,-55,-40,-43,-53,-49,-70,-54,NaN,-74,-79,-72,-68,NaN,-73,-67,NaN,NaN,10
-56,-56,-56,-42,-54,-55,-40,-42,-56,-59,-70,-56,-69,-63,NaN,-72,-66,NaN,-71,-72,NaN,-77,10
-56,-56,-56,-41,-54,-55,-39,-42,-56,-48,-69,-58,-69,-65,NaN,-72,-69,NaN,-72,-72,NaN,-77,10
-56,-55,-56,-41,-56,-56,-37,-42,-56,-49,-69,-57,-70,-65,NaN,-72,-70,NaN,-72,NaN,NaN,-77,10
-56,-55,-60,-41,-54,-56,-40,-43,-57,-46,NaN,-57,-70,-61,-68,-72,-68,-77,-68,-71,NaN,NaN,10
-56,-55,-56,-42,-54,-57,-40,-42,-54,-58,-68,-58,NaN,-65,-68,-72,-69,-77,-71,-71,-85,NaN,10
