X,Y,Z
-13.58184814,1.635940552,-25.37937164
-13.58184814,2.090080261,-24.56188202
-13.7588501,1.817710876,-24.74327087
-13.22803497,1.908500671,-25.19760132
-13.22803497,1.999481201,-24.47071075
-13.84754181,1.726730347,-25.10662079
-13.84735107,1.726730347,-25.01602173
-13.93585205,1.908309937,-24.65229034
-14.112854,1.726539612,-24.19815063
-13.84735107,1.817329407,-24.65248108
-13.40484619,1.817520142,-24.83406067
-13.40484619,1.817520142,-25.28820038
-13.67034912,2.090080261,-25.19760132
-13.67034912,2.362640381,-24.83406067
-13.58184814,1.999099731,-24.74308014
-13.93585205,1.817520142,-24.65248108
-14.02435303,2.180870056,-24.74346161
-13.84735107,1.999290466,-24.74327087
-13.7588501,1.545150757,-24.65267181
-11.72428131,-1.178924561,-26.83258057
-11.2821579,-1.54246521,-26.92337036
-11.19365692,-1.815406799,-27.19573975
-11.54708862,-2.178756714,-27.10494995
-11.19365692,-1.45186615,-27.28652954
-11.10496521,-1.361076355,-27.10494995
-11.10496521,-1.81502533,-26.65100098
-11.45858765,-1.451293945,-26.83258057
-11.6355896,-1.45148468,-27.10494995
-11.37065887,-1.36088562,-27.37731934
-10.92834473,-1.088516235,-26.83258057
-11.10515594,-1.815406799,-26.83258057
-11.10534668,-1.72442627,-26.65100098
-11.28196716,-1.360694885,-26.65100098
-11.19327545,-1.996604919,-27.55889893
-10.92815399,-1.996604919,-27.37731934
-10.57434082,-1.360694885,-26.92337036
-10.57434082,-1.451675415,-27.01416016
-11.19346619,-1.451675415,-26.83258057
-11.19365692,-1.906196594,-26.83258057
-11.63578033,-1.542655945,-26.37844086
