04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-51,-36,-30,-54,-56,-58,-46,-55,-73,-67,NaN,-59,-74,-61,NaN,NaN,-82,NaN,-72,2
-50,-36,-30,-54,-56,-57,-50,-56,-73,-67,-66,NaN,-76,-61,NaN,-85,-83,NaN,-72,2
-51,-36,-30,-54,-54,-57,-51,-55,-75,-68,-66,-57,NaN,-62,-76,-85,NaN,NaN,NaN,2
-51,-36,-29,-54,-56,-60,-50,NaN,-74,-68,-66,NaN,-77,-62,-75,NaN,-83,NaN,-71,2
-51,-36,-30,-54,-53,-58,-49,-54,-71,-66,-66,NaN,-75,-62,NaN,-88,NaN,NaN,-72,2
-52,-36,-30,-54,-53,-58,-51,NaN,NaN,-67,-66,-59,NaN,NaN,NaN,NaN,-85,NaN,NaN,2
-52,-36,-30,-54,-54,-59,-49,-55,NaN,-67,NaN,-59,NaN,-61,NaN,NaN,-85,NaN,NaN,2
-55,-36,-30,-53,-53,-58,-48,-57,-78,-68,-76,-58,-76,-61,-75,NaN,NaN,NaN,-72,2
-58,-36,-29,-54,-54,-58,-49,-55,-75,-67,-66,NaN,-76,NaN,NaN,NaN,-83,NaN,NaN,2
-54,NaN,-61,-54,-56,-60,-50,-56,-72,-67,-66,NaN,-73,-61,NaN,NaN,NaN,NaN,NaN,2
-52,NaN,-30,-54,-53,-59,-50,-57,-72,-67,-66,NaN,NaN,-62,NaN,NaN,NaN,NaN,NaN,2
-52,-36,-30,-54,-56,-58,-50,-54,-72,-67,NaN,-59,-76,-61,NaN,NaN,NaN,NaN,NaN,2
-52,-36,-30,-54,-55,-58,-53,-55,-74,-66,NaN,-60,NaN,NaN,NaN,NaN,NaN,-81,-72,2
-50,-36,-28,-55,-56,-58,-52,-54,NaN,-67,-67,-59,-77,-61,NaN,-85,-82,NaN,-71,2
-52,-36,-30,-55,-53,-58,-50,-53,-75,-67,-67,-60,NaN,-61,-75,-86,NaN,-84,NaN,2
-51,-36,-28,-54,-56,-57,-50,-56,NaN,-67,-67,NaN,NaN,-61,NaN,-86,NaN,-84,NaN,2
-52,-36,-30,-54,-54,-59,-53,-55,NaN,-68,-66,NaN,NaN,-61,NaN,NaN,NaN,NaN,NaN,2
-51,-37,-30,-54,-55,-58,-50,-54,-74,-68,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-56,-36,-30,-55,-55,-58,-51,-56,NaN,-68,-67,-61,NaN,NaN,-75,NaN,-83,NaN,NaN,2
-56,-77,-30,NaN,-56,-58,-50,-56,-73,-68,-66,NaN,NaN,-62,-75,-87,-82,-84,-74,2
-51,-36,-30,-55,-91,-58,-50,-54,-76,-68,-66,-60,-78,-61,-74,-78,-83,NaN,NaN,2
-55,-30,-51,-65,-50,-60,-51,-52,-68,-64,-64,-59,NaN,-68,-75,NaN,NaN,NaN,-72,3
-58,-32,-39,NaN,-45,-56,-57,NaN,NaN,-67,-71,NaN,NaN,-67,-74,NaN,NaN,NaN,NaN,3
-56,-31,NaN,-56,-45,NaN,-50,-50,-64,-68,-67,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,3
-55,-29,-33,-69,-44,-56,-50,-52,-63,-69,-64,-61,-76,-63,NaN,NaN,NaN,NaN,NaN,3
-51,-29,-33,-63,-43,-57,-52,-55,-64,-58,-65,NaN,NaN,-65,-72,NaN,-82,NaN,NaN,3
-54,-28,-33,-69,-44,-53,-51,-55,NaN,-66,-73,-63,-76,-65,-72,-81,NaN,NaN,NaN,3
-54,-29,-33,-64,-44,-55,-48,-53,-62,-67,-64,-64,NaN,-64,-71,NaN,NaN,NaN,NaN,3
-56,-28,-33,-62,-46,-56,-49,-52,-63,-69,-68,NaN,-76,-65,-75,NaN,NaN,NaN,-71,3
-58,-27,NaN,-58,-44,-58,-51,-51,-62,-66,-63,-61,NaN,-64,NaN,NaN,NaN,NaN,NaN,3
-54,-27,-33,-58,-46,-56,-49,-52,-63,-67,-63,-59,NaN,-64,NaN,-80,NaN,NaN,NaN,3
-58,-28,-33,-59,-44,-55,-50,NaN,NaN,-67,-63,-59,-73,NaN,NaN,NaN,NaN,NaN,NaN,3
-59,-27,-33,-59,-46,-56,-50,-53,-62,-67,-64,NaN,NaN,NaN,NaN,NaN,-81,NaN,NaN,3
-59,-31,NaN,-59,-44,-54,-55,NaN,-62,-66,-64,-61,-80,-66,-72,NaN,NaN,NaN,-79,3
