04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-56,-44,-45,-33,NaN,-62,-57,-52,-70,NaN,-63,-69,NaN,-67,NaN,-77,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,-87,-80,NaN,NaN,NaN,NaN,NaN,16
-55,-43,-45,-32,NaN,-64,-57,-52,-71,-62,-63,-71,NaN,-67,-72,-87,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,16
-56,-43,-47,-32,-56,-63,-57,-52,-72,-61,-63,-69,NaN,-69,-70,-89,NaN,-71,NaN,NaN,NaN,-81,-87,NaN,-86,-81,-83,NaN,NaN,NaN,NaN,16
-55,-43,-47,-32,-54,-62,-58,-55,-71,-61,-64,-67,NaN,-68,NaN,-88,NaN,-71,NaN,-72,NaN,-80,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-55,-44,-45,-31,-53,-61,-57,-54,-71,-61,-61,-51,NaN,-68,-72,-88,NaN,-71,NaN,-73,NaN,NaN,-85,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,16
-55,-43,-45,-31,-57,-63,-56,NaN,-71,NaN,-63,NaN,NaN,NaN,-73,-81,NaN,NaN,NaN,-76,NaN,-78,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-50,-43,-47,-32,-54,-62,NaN,-52,-71,-61,-62,-67,NaN,-69,-73,-82,NaN,-75,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-54,-42,-45,-32,-56,-65,-58,-54,-71,-59,-63,NaN,NaN,-68,-72,-87,NaN,-74,NaN,-74,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-55,-43,-47,-32,-57,-60,-56,NaN,-72,NaN,-62,NaN,NaN,NaN,NaN,NaN,NaN,-72,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-54,-45,-46,-32,-57,NaN,-58,-52,-72,NaN,-65,NaN,NaN,-70,NaN,NaN,NaN,-68,NaN,-72,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-56,-44,-44,-32,-54,-62,-59,-51,-72,-62,-61,-67,NaN,-68,-71,-87,NaN,-72,NaN,-72,NaN,-76,NaN,NaN,-86,-70,NaN,NaN,NaN,NaN,NaN,16
-56,-43,-47,-32,-72,-63,-62,-51,-72,NaN,-61,-66,NaN,-69,-71,-86,NaN,-71,NaN,-70,NaN,NaN,NaN,NaN,-87,-80,-85,NaN,NaN,NaN,-91,16
-51,-43,-47,-32,-54,-64,-61,-51,-72,NaN,-63,-67,NaN,-67,-72,-86,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,-81,-82,-83,NaN,NaN,NaN,NaN,16
-55,-43,-47,-31,-55,-63,-60,-53,-72,NaN,-64,-68,NaN,-68,-71,-88,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,16
-56,-43,-47,-32,-55,-63,-58,-52,-72,-63,-63,-67,NaN,-68,-71,-89,NaN,-72,NaN,-74,NaN,-79,-87,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,16
-57,-44,-48,-32,-54,-64,-58,NaN,-72,NaN,NaN,-66,NaN,NaN,-71,NaN,NaN,NaN,NaN,-70,NaN,NaN,-79,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,16
-57,-43,-45,-32,NaN,NaN,-58,NaN,-72,NaN,-62,-67,NaN,-68,NaN,NaN,NaN,NaN,NaN,-71,NaN,-81,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,16
-55,-44,-45,-32,-55,-65,-59,-54,-72,NaN,-63,-66,NaN,-68,NaN,-80,NaN,-72,NaN,NaN,NaN,-78,NaN,-86,-88,-81,NaN,NaN,NaN,NaN,NaN,16
-56,-44,-45,-32,-52,-64,-58,-52,-72,-66,-63,-64,NaN,-69,-71,-81,NaN,-72,NaN,-72,NaN,-80,NaN,NaN,-87,-81,NaN,NaN,NaN,NaN,NaN,16
-50,-43,-47,-32,NaN,-61,-59,-53,-72,NaN,NaN,-67,NaN,-69,NaN,-80,NaN,NaN,NaN,-71,NaN,-80,NaN,NaN,-88,-83,NaN,NaN,NaN,NaN,NaN,16
-56,-43,-48,-31,-54,-64,-60,-57,-61,NaN,-63,NaN,NaN,-68,NaN,-79,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,-80,-84,NaN,NaN,NaN,NaN,16
-57,-42,-88,-32,-53,-63,-59,NaN,-72,-65,-65,NaN,NaN,-66,NaN,-80,NaN,NaN,NaN,-70,NaN,-77,NaN,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,16
-55,-44,-47,-32,-54,-63,-59,-52,-73,-63,-64,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,-70,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-52,-44,-47,-32,-54,-62,-60,-52,-73,-62,-62,-67,NaN,-76,NaN,NaN,NaN,-72,NaN,-70,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-55,-43,-47,-32,-53,-63,NaN,-51,-73,NaN,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-57,-41,-45,-32,-52,-64,-57,-54,-73,NaN,-63,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,16
-51,-42,-47,-32,-53,NaN,-59,-53,-59,NaN,-63,NaN,NaN,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-55,-44,-47,-32,-55,-64,-58,-53,-72,NaN,-61,-67,NaN,-66,NaN,NaN,NaN,-71,NaN,NaN,NaN,-79,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,16
-55,-44,-47,-32,-54,-63,-59,NaN,-72,NaN,-63,NaN,NaN,-75,NaN,-89,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,16
-50,-43,-47,-32,-85,-62,-57,-53,-72,-63,NaN,-74,NaN,-77,-71,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-50,-42,-47,-32,-55,-63,-58,-52,-73,-89,-67,NaN,NaN,-65,-73,NaN,NaN,-73,NaN,-70,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-56,-43,-47,-32,NaN,-61,-59,-54,-73,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-57,-42,-45,-31,-54,-63,-58,-52,-74,NaN,-61,-72,NaN,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
-58,-43,-45,-33,-57,-63,-58,-53,-72,-63,-63,-74,NaN,-67,NaN,-86,NaN,-72,NaN,NaN,NaN,-78,NaN,-85,NaN,-82,NaN,NaN,NaN,NaN,NaN,16
-56,-44,-47,-31,-59,-64,-57,-52,-74,-64,-63,-72,NaN,-66,NaN,-90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80,-80,NaN,NaN,NaN,NaN,NaN,16
-53,-45,-44,-26,-60,-54,-55,-51,-64,-65,-72,-69,NaN,-69,-80,-83,NaN,-73,NaN,-75,NaN,-73,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,17
-64,-39,-45,-21,-51,-54,-59,-53,-67,-67,-72,-73,NaN,-74,NaN,-81,NaN,-70,NaN,-79,NaN,NaN,NaN,-87,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-59,-42,-46,-22,-53,-56,-56,-56,-67,-66,NaN,-70,NaN,-69,NaN,-82,NaN,-71,NaN,NaN,NaN,-74,NaN,NaN,-77,-86,-80,NaN,NaN,NaN,NaN,17
-65,-41,-46,-22,-52,-56,-56,-58,-65,NaN,-70,NaN,NaN,-68,NaN,-79,NaN,-71,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-41,-46,-22,-54,-53,-63,-58,-65,NaN,-74,-70,NaN,-69,NaN,-78,NaN,-72,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-40,-47,-21,-54,-56,-57,NaN,-66,NaN,-69,-71,NaN,-67,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-42,-44,-21,NaN,-55,-56,-55,-66,NaN,-67,-70,NaN,-72,NaN,-79,NaN,-72,NaN,-78,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-42,-47,-25,-54,-57,-60,-57,-65,-67,-68,-68,NaN,-78,NaN,-78,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-62,-40,-47,-22,-55,-56,-55,-55,-66,-66,-69,-72,NaN,-67,-78,-78,NaN,-71,NaN,-77,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-40,-47,-21,-52,-57,NaN,-53,-65,-67,-73,NaN,NaN,-68,NaN,NaN,NaN,-71,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,17
-61,-39,-47,-21,-53,-57,-57,-55,-65,-66,-68,-70,NaN,-69,NaN,-80,NaN,-71,NaN,-77,NaN,-73,NaN,-85,NaN,NaN,-78,NaN,NaN,NaN,NaN,17
-65,-41,-47,-21,NaN,-57,-58,-55,-67,-65,-68,-71,NaN,-74,NaN,-79,NaN,-72,NaN,NaN,NaN,NaN,-87,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-41,-47,-21,-54,-57,-58,NaN,-66,-65,NaN,NaN,NaN,-68,-76,-81,NaN,-71,NaN,-82,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-41,-45,-21,-53,-57,-56,-57,-65,NaN,-69,NaN,NaN,-73,NaN,NaN,NaN,-72,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-41,-47,-22,-55,-55,-60,-54,-65,NaN,-67,-73,NaN,-72,NaN,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-45,-21,-56,-55,-59,-54,-66,NaN,-77,-73,NaN,-68,NaN,-82,NaN,-73,NaN,-70,NaN,-73,NaN,NaN,-80,NaN,-81,NaN,NaN,NaN,-91,17
-68,-42,-44,-22,-54,-56,-59,-55,-60,-66,-69,NaN,NaN,-72,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,-76,NaN,NaN,NaN,NaN,17
-61,-44,-45,-22,-50,-55,NaN,-56,-65,NaN,-75,-68,NaN,-70,NaN,NaN,NaN,-72,NaN,-71,NaN,-74,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-44,-44,-22,-52,-56,-60,-56,-65,-64,NaN,-72,NaN,-69,NaN,-81,NaN,-72,NaN,NaN,NaN,-75,NaN,NaN,-77,-83,NaN,NaN,NaN,NaN,NaN,17
-67,-43,-45,-21,-52,-56,-59,-55,-65,NaN,-69,NaN,NaN,-66,NaN,-86,NaN,-72,NaN,-70,NaN,-75,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,-92,17
-68,-42,-45,-22,-53,-54,-62,-55,-64,-60,-78,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,17
-65,-42,-46,-22,-52,-56,-60,-56,-66,-64,-77,-69,NaN,-68,-77,-76,NaN,-73,NaN,NaN,NaN,-74,NaN,-84,-76,-85,NaN,NaN,NaN,NaN,NaN,17
-67,-42,-44,-22,-57,-55,-60,NaN,-67,NaN,-66,-69,NaN,-69,NaN,-78,NaN,-72,NaN,-70,NaN,-73,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-41,-46,-25,-54,-55,-60,-55,-60,-66,-70,-70,NaN,-70,NaN,-81,NaN,-72,NaN,-69,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-42,-46,-21,-54,-46,NaN,-56,-64,NaN,-70,-67,NaN,-70,NaN,-77,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-69,-42,-44,-21,-52,NaN,-58,-55,-66,-69,-70,-70,NaN,-68,NaN,-86,NaN,-72,NaN,-71,NaN,-74,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-42,-46,-21,-54,-55,-58,-55,-65,-69,-70,-71,NaN,-69,NaN,-83,NaN,NaN,NaN,-71,NaN,-74,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-42,-46,-21,-58,-55,-63,-58,-65,NaN,-69,-71,NaN,-66,-76,-77,NaN,-72,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-60,-42,-46,-21,-55,-56,-60,-57,-67,NaN,NaN,-71,NaN,-67,NaN,-80,NaN,NaN,NaN,-77,NaN,-74,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-43,-46,-21,-53,-56,-61,NaN,-65,NaN,-71,NaN,NaN,-68,NaN,NaN,NaN,-72,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-46,-21,-54,-55,NaN,-55,-65,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-45,-21,-56,-56,-59,-57,-58,NaN,-72,-70,NaN,-71,NaN,NaN,NaN,-73,NaN,-76,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-46,-25,-82,-55,-59,-55,-64,NaN,-72,NaN,NaN,-71,NaN,-76,NaN,-72,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-46,-22,-55,-55,-59,-55,-65,-66,NaN,-73,NaN,-71,NaN,-77,NaN,-72,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-46,-21,NaN,-54,-58,-54,-65,-66,-74,NaN,NaN,-71,NaN,NaN,NaN,-73,NaN,-69,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-45,-21,-56,-55,-59,-55,-64,NaN,-72,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-43,-47,-21,-52,-55,-58,-85,-63,-66,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-42,-46,-22,-55,-56,-58,-54,-64,NaN,-76,-75,NaN,-89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-45,-21,-53,-56,-56,-55,-65,-65,NaN,-68,NaN,-70,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-41,-43,-40,-56,-58,-59,-56,-65,-72,-73,-76,NaN,-71,NaN,NaN,NaN,-73,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-40,-43,-21,-56,-57,-58,-54,-64,NaN,-72,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-70,-40,-45,-22,-57,-58,-57,-55,-65,-65,-73,-76,NaN,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-69,-41,-43,-21,-56,-58,NaN,-55,-66,-64,NaN,-68,NaN,-71,NaN,-82,NaN,-73,NaN,NaN,NaN,-74,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,17
-65,-41,-44,-25,-55,-58,NaN,-56,-67,NaN,-73,NaN,NaN,NaN,NaN,-82,NaN,-72,NaN,NaN,NaN,-74,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-71,-41,-45,-21,-58,-55,NaN,-55,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-72,NaN,NaN,NaN,-73,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-41,-50,-21,-60,-58,-57,NaN,-67,NaN,NaN,-67,NaN,-70,NaN,NaN,NaN,-72,NaN,-76,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-41,-45,-73,-57,-58,-58,-56,-65,NaN,-73,NaN,NaN,-72,NaN,NaN,NaN,-71,NaN,-82,NaN,-72,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,17
-67,-41,-45,-21,-62,-59,-58,-56,-57,NaN,-73,-70,NaN,-70,NaN,-86,NaN,-72,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,-91,NaN,NaN,NaN,NaN,17
-65,-41,-42,-22,-57,-58,-57,NaN,-66,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,-72,NaN,-69,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-64,-40,-44,-21,-53,-59,-56,NaN,-56,NaN,-73,NaN,NaN,-71,-77,NaN,NaN,-71,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-40,-44,-21,-54,-58,-56,-55,-64,-65,NaN,-68,NaN,-71,-74,NaN,NaN,NaN,NaN,-77,NaN,-73,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-40,-44,-22,-54,-58,-57,NaN,-65,NaN,-73,NaN,NaN,-72,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-64,-40,-45,-21,-54,-58,-57,-53,-64,-66,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-40,-44,-21,-53,-58,-59,-55,-65,NaN,-74,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,-70,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-64,-40,-44,-21,-52,-56,-57,-54,-66,-69,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,-69,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-64,-39,-44,-21,-57,-57,-55,-58,-66,NaN,-68,-74,NaN,-71,NaN,NaN,NaN,-71,NaN,-69,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-43,-46,-21,-52,-58,-57,-53,-66,-68,-71,NaN,NaN,-70,NaN,NaN,NaN,-71,NaN,-69,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-42,-47,-21,-50,-57,NaN,-54,-66,NaN,NaN,-76,NaN,-71,-75,NaN,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-68,-48,-45,-21,-51,-50,-58,-51,-61,NaN,-74,NaN,NaN,-74,NaN,NaN,NaN,-72,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-68,-42,-43,-21,-50,-54,-69,-54,-68,-73,NaN,NaN,NaN,-74,-72,NaN,NaN,-73,NaN,-68,NaN,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-43,-43,-21,-50,-57,-61,-55,-68,NaN,-70,-75,NaN,-72,NaN,NaN,NaN,-71,NaN,-67,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-44,-44,-21,-49,-58,-59,-54,-68,NaN,-75,NaN,NaN,-71,NaN,NaN,NaN,-70,NaN,-77,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-56,-46,-21,-50,-58,-57,-54,-68,NaN,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-77,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-42,-46,-21,-49,-57,-56,-53,-67,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-47,-44,-21,-50,-59,-64,-54,-58,-58,-72,NaN,NaN,-72,NaN,-82,NaN,NaN,NaN,-78,NaN,-74,NaN,NaN,-78,NaN,-92,NaN,NaN,NaN,NaN,17
-69,-46,-46,-21,-51,-59,-58,-72,-63,NaN,-74,-69,NaN,-69,NaN,NaN,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-69,-43,-45,-84,-49,NaN,-57,-54,-59,-66,NaN,-68,NaN,-70,NaN,NaN,NaN,NaN,NaN,-76,NaN,-73,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-64,-46,-50,-21,-50,-59,-57,-60,-57,NaN,-70,-67,NaN,-69,-70,-83,NaN,-71,NaN,NaN,NaN,-75,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-42,-45,-21,-51,NaN,-57,-52,-63,NaN,-73,NaN,NaN,-72,NaN,NaN,NaN,-72,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-42,-43,-22,-51,-58,-67,-54,-63,NaN,-72,NaN,NaN,-68,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-46,-43,-21,-50,-58,-67,NaN,-65,NaN,-70,NaN,NaN,-69,NaN,-82,NaN,-71,NaN,NaN,NaN,-73,NaN,NaN,NaN,-86,-80,NaN,NaN,NaN,NaN,17
-65,-40,-43,-22,-51,-59,-58,-52,-63,NaN,NaN,NaN,NaN,-74,-73,NaN,NaN,-69,NaN,-77,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-41,-43,-21,-50,-58,-59,-53,-64,NaN,NaN,-70,NaN,-70,NaN,NaN,NaN,-71,NaN,-77,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-68,-41,-45,-22,-49,NaN,-61,-54,-64,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,-77,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-39,-43,-21,-50,NaN,-60,-53,-63,NaN,-72,-69,NaN,-71,NaN,-84,NaN,-69,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
-66,-39,-45,-22,-49,-57,-63,-85,-65,NaN,NaN,-73,NaN,-70,NaN,NaN,NaN,-70,NaN,NaN,NaN,-73,NaN,NaN,-69,-87,NaN,NaN,NaN,NaN,NaN,17
-67,-46,-45,-21,-51,-57,NaN,-56,-67,NaN,-71,-71,NaN,-71,-74,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,17
-65,-45,-43,-22,-50,-57,-59,-64,-66,-66,-66,-72,NaN,-70,NaN,-80,NaN,-72,NaN,-79,NaN,-72,NaN,NaN,-75,NaN,-80,NaN,NaN,NaN,NaN,17
-65,-46,-45,-21,-50,-56,-57,-56,-67,NaN,-75,NaN,NaN,-71,-73,NaN,NaN,-71,NaN,-76,NaN,NaN,NaN,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,17
-65,-46,-42,-21,-50,-57,-56,-54,-68,-65,NaN,NaN,NaN,-72,NaN,-83,NaN,-72,NaN,-79,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,17
-67,-34,-46,-35,-51,-57,-56,-61,-70,-60,-69,-75,NaN,-68,-73,-84,NaN,-62,NaN,NaN,NaN,-77,NaN,NaN,-77,-85,NaN,NaN,NaN,NaN,NaN,18
-57,-35,-49,-33,-49,-56,-58,-58,-71,NaN,-64,-77,NaN,-64,NaN,NaN,NaN,NaN,NaN,-83,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18
-58,-36,-50,-34,-50,-57,-56,-60,-71,NaN,-64,NaN,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18
-59,-37,-50,-33,-47,NaN,-56,-63,-72,-67,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18
